Model,Group,Model Number,Model Version,GDT_TS
M1228v1TS294_1,TS294,1,v1,0.369
M1228v1TS294_2,TS294,2,v1,0.369
M1228v1TS294_3,TS294,3,v1,0.369
M1228v1TS462_3,TS462,3,v1,0.367
M1228v1TS204_1,TS204,1,v1,0.364
M1228v1TS294_5,TS294,5,v1,0.359
M1228v1TS294_4,TS294,4,v1,0.359
M1228v1TS304_3,TS304,3,v1,0.355
M1228v1TS481_3,TS481,3,v1,0.355
M1228v1TS286_5,TS286,5,v1,0.347
M1228v1TS091_3,TS091,3,v1,0.34
M1228v1TS262_1,TS262,1,v1,0.34
M1228v1TS262_5,TS262,5,v1,0.339
M1228v1TS262_3,TS262,3,v1,0.339
M1228v1TS052_4,TS052,4,v1,0.337
M1228v1TS262_4,TS262,4,v1,0.335
M1228v1TS262_2,TS262,2,v1,0.335
M1228v1TS052_3,TS052,3,v1,0.334
M1228v1TS022_4,TS022,4,v1,0.333
M1228v1TS033_5,TS033,5,v1,0.331
M1228v1TS481_5,TS481,5,v1,0.327
M1228v1TS462_5,TS462,5,v1,0.325
M1228v1TS481_1,TS481,1,v1,0.317
M1228v1TS304_1,TS304,1,v1,0.316
M1228v1TS241_5,TS241,5,v1,0.316
M1228v1TS286_3,TS286,3,v1,0.316
M1228v1TS241_3,TS241,3,v1,0.314
M1228v1TS489_2,TS489,2,v1,0.312
M1228v1TS204_2,TS204,2,v1,0.308
M1228v1TS494_2,TS494,2,v1,0.308
M1228v1TS274_2,TS274,2,v1,0.308
M1228v1TS286_1,TS286,1,v1,0.307
M1228v1TS033_1,TS033,1,v1,0.307
M1228v1TS456_3,TS456,3,v1,0.307
M1228v1TS456_4,TS456,4,v1,0.307
M1228v1TS450_1,TS450,1,v1,0.306
M1228v1TS167_1,TS167,1,v1,0.306
M1228v1TS286_4,TS286,4,v1,0.304
M1228v1TS033_4,TS033,4,v1,0.303
M1228v1TS462_4,TS462,4,v1,0.303
M1228v1TS091_2,TS091,2,v1,0.302
M1228v1TS481_2,TS481,2,v1,0.301
M1228v1TS091_4,TS091,4,v1,0.3
M1228v1TS462_2,TS462,2,v1,0.299
M1228v1TS028_2,TS028,2,v1,0.299
M1228v1TS494_1,TS494,1,v1,0.299
M1228v1TS274_1,TS274,1,v1,0.299
M1228v1TS323_1,TS323,1,v1,0.297
M1228v1TS110_4,TS110,4,v1,0.294
M1228v1TS091_5,TS091,5,v1,0.293
M1228v1TS110_2,TS110,2,v1,0.292
M1228v1TS110_3,TS110,3,v1,0.291
M1228v1TS052_1,TS052,1,v1,0.291
M1228v1TS028_3,TS028,3,v1,0.29
M1228v1TS110_5,TS110,5,v1,0.285
M1228v1TS110_1,TS110,1,v1,0.285
M1228v1TS028_4,TS028,4,v1,0.283
M1228v1TS456_2,TS456,2,v1,0.281
M1228v1TS052_2,TS052,2,v1,0.281
M1228v1TS033_3,TS033,3,v1,0.28
M1228v1TS028_5,TS028,5,v1,0.279
M1228v1TS450_2,TS450,2,v1,0.279
M1228v1TS167_2,TS167,2,v1,0.279
M1228v1TS462_1,TS462,1,v1,0.278
M1228v1TS489_4,TS489,4,v1,0.277
M1228v1TS489_3,TS489,3,v1,0.277
M1228v1TS489_5,TS489,5,v1,0.277
M1228v1TS456_1,TS456,1,v1,0.277
M1228v1TS489_1,TS489,1,v1,0.276
M1228v1TS022_2,TS022,2,v1,0.274
M1228v1TS450_4,TS450,4,v1,0.273
M1228v1TS450_5,TS450,5,v1,0.273
M1228v1TS167_4,TS167,4,v1,0.273
M1228v1TS167_5,TS167,5,v1,0.273
M1228v1TS167_3,TS167,3,v1,0.272
M1228v1TS450_3,TS450,3,v1,0.272
M1228v1TS494_3,TS494,3,v1,0.27
M1228v1TS274_3,TS274,3,v1,0.27
M1228v1TS022_3,TS022,3,v1,0.269
M1228v1TS494_5,TS494,5,v1,0.267
M1228v1TS274_5,TS274,5,v1,0.267
M1228v1TS286_2,TS286,2,v1,0.266
M1228v1TS494_4,TS494,4,v1,0.265
M1228v1TS274_4,TS274,4,v1,0.265
M1228v1TS204_5,TS204,5,v1,0.264
M1228v1TS091_1,TS091,1,v1,0.262
M1228v1TS022_1,TS022,1,v1,0.262
M1228v1TS204_3,TS204,3,v1,0.261
M1228v1TS208_1,TS208,1,v1,0.261
M1228v1TS159_1,TS159,1,v1,0.26
M1228v1TS325_1,TS325,1,v1,0.26
M1228v1TS028_1,TS028,1,v1,0.259
M1228v1TS241_4,TS241,4,v1,0.255
M1228v1TS014_1,TS014,1,v1,0.253
M1228v1TS204_4,TS204,4,v1,0.251
M1228v1TS014_5,TS014,5,v1,0.249
M1228v1TS014_4,TS014,4,v1,0.249
M1228v1TS014_2,TS014,2,v1,0.246
M1228v1TS014_3,TS014,3,v1,0.244
M1228v1TS481_4,TS481,4,v1,0.241
M1228v1TS304_4,TS304,4,v1,0.21
M1228v1TS304_2,TS304,2,v1,0.209
M1228v1TS033_2,TS033,2,v1,0.203
M1228v1TS304_5,TS304,5,v1,0.135
M1228v1TS241_2,TS241,2,v1,0.125
M1228v1TS231_5,TS231,5,v1,0.117
M1228v1TS231_4,TS231,4,v1,0.117
M1228v1TS231_2,TS231,2,v1,0.116
M1228v1TS231_1,TS231,1,v1,0.115
M1228v1TS241_1,TS241,1,v1,0.111
M1228v1TS231_3,TS231,3,v1,0.107
M1228v1TS052_5,TS052,5,v1,0.107
M1228v1TS456_5,TS456,5,v1,0.103
M1228v1TS022_5,TS022,5,v1,0.101
